qx;qy
0.00611300000;0.00508800000
0.00042300000;0.00038700000
0.00034300000;0.00031800000
0.00027500000;0.00025500000
0.00022000000;0.00020200000
0.00018200000;0.00016300000
0.00015500000;0.00013400000
0.00013900000;0.00011500000
0.00012900000;0.00010500000
0.00012500000;0.00009900000
0.00012900000;0.00010200000
0.00014300000;0.00011100000
0.00017300000;0.00012700000
0.00022200000;0.00015300000
0.00030300000;0.00018800000
0.00041700000;0.00022800000
0.00055700000;0.00027100000
0.00070900000;0.00031000000
0.00085000000;0.00032400000
0.00095300000;0.00033000000
0.00101200000;0.00032800000
0.00102200000;0.00032200000
0.00100400000;0.00031400000
0.00096300000;0.00030400000
0.00091100000;0.00029700000
0.00085600000;0.00029300000
0.00080800000;0.00029200000
0.00077200000;0.00029200000
0.00075200000;0.00029600000
0.00074500000;0.00030200000
0.00075200000;0.00031100000
0.00076800000;0.00032700000
0.00079100000;0.00035100000
0.00082000000;0.00038600000
0.00085500000;0.00043300000
0.00089500000;0.00049000000
0.00094500000;0.00055500000
0.00100500000;0.00062400000
0.00108300000;0.00070100000
0.00118100000;0.00078300000
0.00130100000;0.00087200000
0.00144700000;0.00097200000
0.00162300000;0.00108400000
0.00183300000;0.00121300000
0.00208200000;0.00135900000
0.00236400000;0.00152400000
0.00266900000;0.00170600000
0.00298300000;0.00190300000
0.00330200000;0.00210900000
0.00363000000;0.00232400000
0.00398100000;0.00254600000
0.00437100000;0.00278200000
0.00481200000;0.00303500000
0.00530800000;0.00330600000
0.00585700000;0.00359300000
0.00646000000;0.00389800000
0.00711700000;0.00422800000
0.00783100000;0.00458500000
0.00860400000;0.00497400000
0.00945400000;0.00540200000
0.01040400000;0.00588400000
0.01150400000;0.00644900000
0.01281800000;0.00712600000
0.01442900000;0.00793500000
0.01641500000;0.00889800000
0.01883200000;0.01002500000
0.02170400000;0.01132300000
0.02501600000;0.01279700000
0.02873800000;0.01446000000
0.03282200000;0.01633200000
0.03721900000;0.01844000000
0.04188000000;0.02081300000
0.04659700000;0.02347500000
0.05118100000;0.02703500000
0.05611000000;0.03041300000
0.06147700000;0.03428700000
0.06743300000;0.03874900000
0.07416000000;0.04339700000
0.08180600000;0.04999300000
0.09047800000;0.05702400000
0.10026100000;0.06511300000
0.11119300000;0.07428800000
0.12328300000;0.08459000000
0.13649800000;0.09609500000
0.15088700000;0.10902800000
0.16650000000;0.12361100000
0.18334400000;0.14002200000
0.20132300000;0.15825700000
0.22028400000;0.17818500000
0.24007300000;0.19966900000
0.26055600000;0.22250400000
0.28160200000;0.24645300000
0.30307900000;0.27119500000
0.32487200000;0.29558400000
0.34688700000;0.31936200000
0.36905100000;0.34344100000
0.39130500000;0.36781800000
0.41393800000;0.39249300000
0.43731300000;0.41746000000
0.46110100000;0.44271600000
0.48530400000;0.46825800000
0.50992400000;0.49407500000
0.53495700000;0.52016400000
0.56040700000;0.54651400000
0.58626500000;0.57311400000
0.61252900000;0.59995300000
0.63918800000;0.62701400000
0.66623300000;0.65428300000
0.69365100000;0.68174100000
0.72142500000;0.70936400000
0.74953300000;0.73713000000
0.77795000000;0.76501100000
0.80664700000;0.79297400000
0.83558500000;0.82098700000
0.86472200000;0.84900900000
0.89400800000;0.87699800000
0.92338200000;0.90490500000
0.95277800000;0.93267500000
0.98211300000;0.96024900000
1.00000000000;0.98756400000
1.00000000000;1.00000000000
